TransactionID,isFraud_pred,fraud_proba
3663673,0,0.0023
3663674,0,1e-04
3663675,0,0.0006
3663676,0,0.0024
3663677,0,0.0095
3663678,0,0.0002
3663679,0,0.0026
3663680,0,1e-04
3663681,0,0.0006
3663682,0,0.0013
3663683,0,0.0039
3663684,0,0.0014
3663685,0,0.0012
3663686,0,0.0027
3663687,0,0.0003
3663688,0,0.0006
3663689,0,0.0003
3663690,0,0.0011
3663691,0,0.0571
3663692,0,0.0019
3663693,0,0.0015
3663694,0,0.0013
3663695,0,0.0067
3663696,0,0.0184
3663697,0,0.0033
3663698,0,0.0035
3663699,0,0.0256
3663700,0,0.0306
3663701,0,0.0038
3663702,0,0.0393
3663703,0,0.0063
3663704,0,0.0021
3663705,0,0.0564
3663706,0,0.0004
3663707,0,0.0009
3663708,0,0.0004
3663709,0,0.0038
3663710,0,0.001
3663711,0,0.0023
3663712,0,0.0058
3663713,0,0.1709
3663714,0,0.0007
3663715,0,0.0207
3663716,0,0.1026
3663717,0,0.0002
3663718,0,0.0011
3663719,0,0.0008
3663720,0,0.0006
3663721,0,0.0002
3663722,0,0.0013
3663723,0,0.0845
3663724,0,0.0004
3663725,0,1e-04
3663726,0,0.0008
3663727,0,0.0003
3663728,0,0.0004
3663729,0,0.0003
3663730,0,0.0002
3663731,0,0.0003
3663732,0,0.0003
3663733,0,0.0007
3663734,0,0.0004
3663735,0,0.0265
3663736,0,0.0213
3663737,0,0.0043
3663738,0,0.0003
3663739,0,0.0007
3663740,0,0.0018
3663741,0,0.0103
3663742,0,0.0049
3663743,0,0.008
3663744,0,0.0003
3663745,0,0.0276
3663746,0,0.0014
3663747,0,0.0188
3663748,0,1e-04
3663749,0,0.0398
3663750,0,0.0009
3663751,0,0.0018
3663752,0,0.0007
3663753,0,0.0007
3663754,0,0.0109
3663755,0,0.054
3663756,0,0.0092
3663757,0,0.0002
3663758,0,0.0044
3663759,0,0.0045
3663760,0,1e-04
3663761,0,0.0266
3663762,0,0.0
3663763,0,0.0049
3663764,0,0.0005
3663765,0,0.0
3663766,0,0.0023
3663767,0,0.0058
3663768,0,0.0005
3663769,0,0.4826
3663770,0,0.0004
3663771,0,1e-04
3663772,0,0.0009
3663773,1,0.8445
3663774,0,1e-04
3663775,0,0.0047
3663776,0,0.0002
3663777,0,0.0002
3663778,1,0.8688
3663779,0,0.0037
3663780,0,0.0699
3663781,0,0.003
3663782,0,0.0072
3663783,0,0.0002
3663784,0,0.0801
3663785,0,0.0036
3663786,0,0.0007
3663787,0,0.0002
3663788,0,0.0036
3663789,0,0.0007
3663790,0,0.0062
3663791,0,1e-04
3663792,0,0.0201
3663793,0,0.0318
3663794,0,0.0003
3663795,0,0.0038
3663796,0,0.001
3663797,0,1e-04
3663798,0,0.0043
3663799,0,0.0497
3663800,0,0.011
3663801,0,0.0118
3663802,0,1e-04
3663803,0,0.0012
3663804,0,0.0
3663805,0,0.0008
3663806,0,0.0061
3663807,0,0.0038
3663808,0,0.011
3663809,0,0.0041
3663810,0,0.0019
3663811,0,0.0077
3663812,0,0.0054
3663813,0,0.0068
3663814,0,0.0
3663815,0,0.0039
3663816,0,0.0106
3663817,0,0.0005
3663818,0,0.0064
3663819,0,0.0023
3663820,0,0.0036
3663821,0,0.0896
3663822,0,0.0023
3663823,0,0.0046
3663824,0,0.006
3663825,0,0.0024
3663826,0,0.0018
3663827,1,0.9662
3663828,1,0.9192
3663829,0,0.0003
3663830,0,0.0005
3663831,0,0.0005
3663832,0,0.0
3663833,0,0.0006
3663834,0,0.003
3663835,0,0.0041
3663836,1,0.9933
3663837,0,0.0019
3663838,0,0.0027
3663839,0,1e-04
3663840,0,0.0007
3663841,0,0.002
3663842,0,0.0003
3663843,0,0.0007
3663844,0,0.0018
3663845,0,0.0035
3663846,0,0.0051
3663847,0,0.0002
3663848,0,0.2314
3663849,0,0.0131
3663850,0,0.0002
3663851,0,0.0026
3663852,0,1e-04
3663853,0,0.0003
3663854,0,0.012
3663855,0,0.0154
3663856,0,0.0006
3663857,0,0.0004
3663858,0,0.0022
3663859,0,0.0223
3663860,0,0.0115
3663861,0,0.0008
3663862,0,0.0
3663863,0,0.0019
3663864,0,0.0024
3663865,0,0.0002
3663866,0,0.0013
3663867,0,1e-04
3663868,0,0.0098
3663869,0,0.0006
3663870,0,0.0
3663871,0,0.0109
3663872,0,0.0006
3663873,0,0.0004
3663874,0,0.0048
3663875,0,0.0113
3663876,0,0.0051
3663877,0,0.0011
3663878,0,0.0006
3663879,0,0.0017
3663880,0,0.0112
3663881,0,0.0194
3663882,0,1e-04
3663883,0,0.0024
3663884,0,0.0507
3663885,0,0.0069
3663886,0,0.0005
3663887,0,0.0056
3663888,0,0.0002
3663889,0,0.022
3663890,0,0.0004
3663891,0,0.0578
3663892,0,0.0002
3663893,0,0.0798
3663894,0,0.0
3663895,0,0.0025
3663896,0,0.005
3663897,0,0.0011
3663898,0,0.0081
3663899,0,0.0007
3663900,0,0.0514
3663901,0,0.0005
3663902,0,0.0003
3663903,0,0.0
3663904,0,0.0073
3663905,0,0.02
3663906,0,0.0065
3663907,0,0.0068
3663908,0,0.0023
3663909,0,0.1229
3663910,0,0.0007
3663911,0,0.0142
3663912,0,0.0377
3663913,0,0.0023
3663914,0,0.0109
3663915,0,0.0003
3663916,0,0.0841
3663917,0,0.0002
3663918,0,0.0004
3663919,0,0.0173
3663920,0,0.0013
3663921,0,0.0043
3663922,0,0.007
3663923,0,0.0002
3663924,0,0.0008
3663925,0,0.0026
3663926,0,0.0
3663927,0,0.0142
3663928,0,0.0002
3663929,0,0.0003
3663930,0,1e-04
3663931,0,0.0018
3663932,0,0.0002
3663933,0,0.1695
3663934,0,0.0035
3663935,0,1e-04
3663936,0,0.0011
3663937,0,0.004
3663938,0,0.0044
3663939,0,0.0175
3663940,0,0.0008
3663941,0,0.001
3663942,0,0.0069
3663943,0,0.0
3663944,0,0.0105
3663945,0,0.0013
3663946,0,0.0122
3663947,0,0.0026
3663948,0,0.0005
3663949,0,0.0167
3663950,0,0.0008
3663951,0,0.0013
3663952,0,1e-04
3663953,0,0.0
3663954,0,0.0053
3663955,0,0.0024
3663956,0,0.0024
3663957,0,0.0068
3663958,0,0.0011
3663959,0,0.0003
3663960,0,0.0006
3663961,0,0.0005
3663962,0,1e-04
3663963,0,0.0005
3663964,0,0.0387
3663965,0,0.0015
3663966,0,0.0038
3663967,0,0.0002
3663968,0,0.0006
3663969,0,0.0019
3663970,0,0.0007
3663971,0,0.0006
3663972,0,0.002
3663973,0,0.0036
3663974,0,0.0066
3663975,0,0.0007
3663976,0,0.0027
3663977,0,0.0002
3663978,0,0.0027
3663979,0,0.0012
3663980,0,0.0002
3663981,0,0.0004
3663982,0,0.0009
3663983,0,0.0002
3663984,0,0.0003
3663985,0,0.0002
3663986,0,0.0138
3663987,0,0.0042
3663988,0,0.0004
3663989,0,0.0081
3663990,0,0.0003
3663991,0,0.0005
3663992,0,0.1316
3663993,0,0.0451
3663994,0,0.0013
3663995,0,0.0037
3663996,0,0.0408
3663997,0,0.004
3663998,0,0.001
3663999,0,0.0004
3664000,0,0.0035
3664001,0,0.0034
3664002,0,0.0127
3664003,0,0.0034
3664004,0,0.0118
3664005,0,0.007
3664006,0,0.0029
3664007,0,1e-04
3664008,0,0.0038
3664009,0,0.0002
3664010,0,0.0048
3664011,0,0.0043
3664012,0,0.0002
3664013,0,0.0295
3664014,0,0.1567
3664015,0,0.004
3664016,0,0.0009
3664017,0,1e-04
3664018,0,0.0009
3664019,0,0.0043
3664020,0,0.0015
3664021,0,1e-04
3664022,0,0.0057
3664023,0,0.0008
3664024,0,0.0006
3664025,0,1e-04
3664026,0,0.0013
3664027,0,1e-04
3664028,0,0.0007
3664029,0,0.0023
3664030,0,0.0
3664031,0,0.0186
3664032,0,0.0038
3664033,0,0.0034
3664034,0,0.0164
3664035,0,1e-04
3664036,0,0.0013
3664037,0,0.001
3664038,0,0.0359
3664039,0,1e-04
3664040,0,1e-04
3664041,0,0.002
3664042,0,0.0016
3664043,0,0.0019
3664044,0,0.0002
3664045,0,0.0008
3664046,0,0.0002
3664047,0,0.0009
3664048,0,0.0011
3664049,0,0.0064
3664050,0,0.0003
3664051,0,0.0047
3664052,0,0.1588
3664053,1,0.9389
3664054,0,0.0009
3664055,0,0.01
3664056,0,0.006
3664057,0,0.0555
3664058,0,0.0155
3664059,0,0.0006
3664060,0,0.0
3664061,0,0.0
3664062,0,0.0007
3664063,0,1e-04
3664064,0,0.0012
3664065,0,0.0013
3664066,0,0.0044
3664067,0,1e-04
3664068,0,0.0172
3664069,0,0.0
3664070,0,1e-04
3664071,0,0.0002
3664072,0,0.0126
3664073,0,0.0011
3664074,0,0.0
3664075,0,0.003
3664076,0,0.0018
3664077,0,1e-04
3664078,0,0.0007
3664079,0,0.0182
3664080,0,0.0277
3664081,0,0.0002
3664082,0,1e-04
3664083,0,0.0004
3664084,0,0.0102
3664085,0,0.0002
3664086,0,0.0285
3664087,0,0.0003
3664088,0,0.0039
3664089,0,0.0026
3664090,0,0.0004
3664091,0,0.0048
3664092,0,0.0004
3664093,0,0.0012
3664094,0,0.0044
3664095,0,0.0115
3664096,0,0.0077
3664097,0,0.0119
3664098,0,0.019
3664099,0,0.0011
3664100,0,0.0004
3664101,0,0.0003
3664102,0,0.0042
3664103,0,0.0624
3664104,0,0.0033
3664105,0,0.0056
3664106,0,0.0005
3664107,0,1e-04
3664108,0,0.0014
3664109,0,1e-04
3664110,0,0.0009
3664111,0,0.004
3664112,0,0.0005
3664113,0,0.1209
3664114,0,0.0009
3664115,0,0.0022
3664116,0,0.0154
3664117,0,0.0002
3664118,0,0.0002
3664119,0,0.0011
3664120,0,0.003
3664121,0,0.0009
3664122,0,0.0005
3664123,0,0.0102
3664124,0,0.0081
3664125,0,1e-04
3664126,0,0.0003
3664127,0,0.035
3664128,0,0.0061
3664129,0,0.0005
3664130,0,0.0027
3664131,0,0.0044
3664132,0,0.0002
3664133,0,0.0053
3664134,0,0.0115
3664135,0,0.0003
3664136,0,0.0007
3664137,0,0.004
3664138,0,0.3549
3664139,0,0.0002
3664140,0,0.0002
3664141,0,0.0012
3664142,0,1e-04
3664143,0,0.0017
3664144,0,1e-04
3664145,0,0.0012
3664146,0,0.0244
3664147,0,0.0036
3664148,0,1e-04
3664149,0,0.0036
3664150,0,0.0004
3664151,0,0.0133
3664152,0,0.0002
3664153,0,0.0167
3664154,0,0.0146
3664155,0,0.0007
3664156,0,0.0002
3664157,0,0.0042
3664158,0,0.0053
3664159,0,0.0
3664160,0,0.0103
3664161,0,0.0004
3664162,0,0.0012
3664163,0,0.0018
3664164,0,0.0002
3664165,0,0.0065
3664166,0,0.0009
3664167,0,0.0037
3664168,0,0.0024
3664169,0,0.0044
3664170,0,0.0021
3664171,0,0.0034
3664172,0,0.003
3664173,0,0.0016
3664174,0,0.0053
3664175,0,0.0024
3664176,0,0.001
3664177,0,0.0076
3664178,0,0.0008
3664179,0,0.0035
3664180,0,0.0019
3664181,0,0.0007
3664182,0,0.0008
3664183,0,0.0
3664184,0,0.0111
3664185,0,0.0028
3664186,0,0.0088
3664187,0,0.0004
3664188,0,0.0009
3664189,0,0.0007
3664190,0,1e-04
3664191,0,0.0029
3664192,0,0.0002
3664193,0,0.0008
3664194,0,0.0009
3664195,0,0.0003
3664196,0,0.001
3664197,0,0.001
3664198,0,0.0002
3664199,0,0.0027
3664200,0,0.0026
3664201,0,0.0002
3664202,0,0.0004
3664203,0,0.0056
3664204,0,0.0079
3664205,0,0.0
3664206,0,0.027
3664207,0,0.0022
3664208,0,0.0031
3664209,0,0.0025
3664210,0,0.0013
3664211,0,0.0203
3664212,0,0.0002
3664213,0,0.0013
3664214,0,0.0207
3664215,0,0.0004
3664216,0,0.0028
3664217,0,0.0
3664218,0,0.0006
3664219,0,0.0
3664220,0,0.0002
3664221,0,0.015
3664222,0,0.0057
3664223,0,0.0021
3664224,0,0.0005
3664225,0,0.001
3664226,0,0.0162
3664227,0,0.0004
3664228,0,0.0009
3664229,0,0.0022
3664230,0,0.0008
3664231,0,1e-04
3664232,0,0.0008
3664233,0,1e-04
3664234,0,0.0018
3664235,0,0.0008
3664236,0,0.0378
3664237,0,0.0041
3664238,0,0.0
3664239,0,1e-04
3664240,0,1e-04
3664241,0,0.0059
3664242,0,0.0005
3664243,0,0.0138
3664244,0,0.0002
3664245,0,1e-04
3664246,0,0.0002
3664247,0,0.0129
3664248,0,0.0002
3664249,0,0.0058
3664250,0,0.0006
3664251,0,0.0109
3664252,0,0.0004
3664253,0,1e-04
3664254,0,0.0091
3664255,0,0.0011
3664256,0,0.0008
3664257,0,0.0055
3664258,0,1e-04
3664259,1,0.5555
3664260,0,0.0009
3664261,1,0.7983
3664262,0,0.0122
3664263,0,0.001
3664264,0,0.0011
3664265,0,0.0014
3664266,0,0.0003
3664267,0,0.0004
3664268,0,0.0003
3664269,0,0.018
3664270,0,0.0008
3664271,0,0.0041
3664272,0,0.0058
3664273,0,0.0047
3664274,0,0.0104
3664275,0,1e-04
3664276,0,0.0002
3664277,0,0.0007
3664278,0,0.0002
3664279,0,0.0
3664280,0,0.0014
3664281,0,0.0007
3664282,0,0.0037
3664283,0,0.0023
3664284,0,0.0023
3664285,0,0.0006
3664286,0,1e-04
3664287,0,0.0121
3664288,0,0.0958
3664289,0,0.0
3664290,0,0.0164
3664291,0,0.0099
3664292,0,0.0073
3664293,0,1e-04
3664294,0,0.0005
3664295,0,0.0131
3664296,0,0.0005
3664297,0,0.0135
3664298,0,0.0007
3664299,0,0.0056
3664300,0,1e-04
3664301,0,0.0029
3664302,0,0.0002
3664303,0,0.0003
3664304,0,0.0014
3664305,0,0.0007
3664306,0,0.0076
3664307,0,0.0044
3664308,0,0.0051
3664309,0,0.0029
3664310,0,0.0065
3664311,0,0.0007
3664312,0,0.2408
3664313,1,0.5492
3664314,0,0.0004
3664315,0,0.0036
3664316,0,0.0202
3664317,0,0.0
3664318,0,0.0003
3664319,0,0.1479
3664320,0,0.0002
3664321,0,0.0505
3664322,0,0.0032
3664323,0,0.0019
3664324,0,0.0012
3664325,0,0.4428
3664326,0,0.0012
3664327,0,0.0183
3664328,0,0.0575
3664329,0,0.0023
3664330,0,0.0003
3664331,0,1e-04
3664332,0,0.0011
3664333,0,0.0014
3664334,0,0.0028
3664335,0,0.0013
3664336,0,0.0002
3664337,0,0.0005
3664338,0,0.1194
3664339,0,0.0271
3664340,0,0.0014
3664341,0,0.0004
3664342,0,0.0162
3664343,0,0.0031
3664344,0,0.0003
3664345,0,1e-04
3664346,0,1e-04
3664347,0,1e-04
3664348,0,0.0005
3664349,0,1e-04
3664350,0,1e-04
3664351,0,0.0002
3664352,0,0.0
3664353,0,0.022
3664354,0,0.0775
3664355,0,0.0005
3664356,0,0.0
3664357,0,0.0017
3664358,0,0.0106
3664359,0,0.0061
3664360,0,1e-04
3664361,0,1e-04
3664362,0,0.0082
3664363,0,0.0004
3664364,0,0.0058
3664365,0,0.0004
3664366,0,0.0003
3664367,0,0.0012
3664368,0,0.0054
3664369,0,0.0006
3664370,0,0.0049
3664371,0,0.0
3664372,0,0.0006
3664373,0,0.0014
3664374,0,0.0002
3664375,0,0.0015
3664376,0,0.0
3664377,0,0.0024
3664378,0,1e-04
3664379,0,0.0012
3664380,0,0.0004
3664381,0,0.0003
3664382,0,0.0673
3664383,0,1e-04
3664384,0,0.0
3664385,0,0.0018
3664386,0,0.01
3664387,0,0.002
3664388,0,1e-04
3664389,0,0.0157
3664390,0,0.0022
3664391,0,0.0003
3664392,0,0.0
3664393,0,0.0054
3664394,0,0.002
3664395,0,0.002
3664396,0,0.0005
3664397,0,0.0007
3664398,0,0.0008
3664399,0,1e-04
3664400,0,0.0013
3664401,0,0.0002
3664402,0,0.0007
3664403,0,0.0003
3664404,0,1e-04
3664405,0,0.006
3664406,0,1e-04
3664407,0,0.0
3664408,0,0.0011
3664409,0,0.0189
3664410,0,0.0007
3664411,0,0.0443
3664412,0,0.0025
3664413,0,0.0006
3664414,0,0.0014
3664415,0,0.0054
3664416,0,0.0005
3664417,0,0.0005
3664418,0,0.0018
3664419,0,1e-04
3664420,0,0.0085
3664421,0,0.0161
3664422,0,0.0253
3664423,0,0.0005
3664424,0,0.0164
3664425,0,0.0004
3664426,0,0.0071
3664427,0,0.0002
3664428,0,0.002
3664429,0,0.0153
3664430,0,0.0005
3664431,0,0.0005
3664432,0,0.0003
3664433,0,0.0003
3664434,0,0.0004
3664435,0,0.0004
3664436,0,0.0
3664437,0,0.0002
3664438,0,1e-04
3664439,0,0.165
3664440,0,1e-04
3664441,0,1e-04
3664442,0,0.0003
3664443,0,0.0005
3664444,0,0.0
3664445,0,0.0078
3664446,0,0.0003
3664447,0,0.0
3664448,0,0.028
3664449,0,0.0003
3664450,0,0.0048
3664451,0,1e-04
3664452,0,1e-04
3664453,0,0.0012
3664454,0,0.1697
3664455,0,0.0023
3664456,0,0.0832
3664457,0,1e-04
3664458,0,0.0062
3664459,0,0.0027
3664460,0,0.0
3664461,0,0.0002
3664462,0,0.0026
3664463,0,0.0013
3664464,0,0.0024
3664465,0,0.0006
3664466,0,0.0032
3664467,0,0.0039
3664468,0,0.0223
3664469,0,0.0003
3664470,0,0.0002
3664471,0,0.0007
3664472,0,0.0163
3664473,0,0.0017
3664474,0,0.0008
3664475,0,0.0002
3664476,0,0.0095
3664477,0,0.0118
3664478,0,0.0051
3664479,0,0.0564
3664480,0,0.091
3664481,0,0.0064
3664482,0,0.0066
3664483,0,0.0032
3664484,0,0.0038
3664485,0,0.004
3664486,0,0.0012
3664487,0,0.0002
3664488,0,0.0005
3664489,0,0.0005
3664490,0,0.0015
3664491,0,0.0018
3664492,0,0.0025
3664493,0,1e-04
3664494,0,0.0
3664495,0,1e-04
3664496,0,0.0073
3664497,0,1e-04
3664498,0,0.0072
3664499,0,0.0144
3664500,0,1e-04
3664501,0,0.0114
3664502,0,0.0011
3664503,0,0.0016
3664504,0,0.0
3664505,0,0.003
3664506,0,0.0052
3664507,0,0.0042
3664508,0,0.002
3664509,0,0.0034
3664510,0,0.0029
3664511,0,0.0045
3664512,0,1e-04
3664513,0,1e-04
3664514,0,1e-04
3664515,0,0.0025
3664516,0,0.0173
3664517,0,1e-04
3664518,0,1e-04
3664519,0,0.0026
3664520,0,0.02
3664521,0,0.0041
3664522,0,0.0012
3664523,0,0.002
3664524,0,0.0023
3664525,0,0.0077
3664526,0,0.0018
3664527,0,0.0123
3664528,0,0.0
3664529,0,1e-04
3664530,0,0.0619
3664531,0,0.0031
3664532,0,0.0313
3664533,0,0.003
3664534,0,0.0033
3664535,0,1e-04
3664536,0,0.027
3664537,0,0.0003
3664538,0,0.0795
3664539,0,0.0007
3664540,0,1e-04
3664541,0,0.0
3664542,0,0.0175
3664543,0,0.0
3664544,0,0.026
3664545,0,0.0009
3664546,0,0.0036
3664547,0,0.0003
3664548,0,0.0256
3664549,0,0.0004
3664550,0,0.0024
3664551,0,0.0154
3664552,0,0.0105
3664553,0,0.0022
3664554,0,0.0688
3664555,0,0.0051
3664556,0,0.1005
3664557,0,0.0286
3664558,0,0.0025
3664559,0,0.0081
3664560,0,0.0009
3664561,0,0.0004
3664562,0,0.1354
3664563,0,0.0071
3664564,0,0.0226
3664565,0,0.0011
3664566,0,0.0042
3664567,0,0.0019
3664568,0,0.0022
3664569,0,0.0
3664570,0,0.0
3664571,0,0.0241
3664572,0,0.0028
3664573,0,0.0033
3664574,0,0.0014
3664575,0,0.0004
3664576,0,0.0478
3664577,0,0.0013
3664578,0,0.001
3664579,0,0.0003
3664580,0,0.0043
3664581,0,0.0015
3664582,0,0.0253
3664583,0,0.2124
3664584,0,0.0008
3664585,0,0.0111
3664586,0,0.0033
3664587,0,1e-04
3664588,0,0.0013
3664589,0,0.01
3664590,0,0.0018
3664591,0,0.0055
3664592,0,0.0002
3664593,0,0.0085
3664594,0,0.0042
3664595,0,1e-04
3664596,0,0.0014
3664597,0,0.002
3664598,0,0.0016
3664599,0,0.0005
3664600,0,0.0022
3664601,0,0.0019
3664602,0,0.0054
3664603,0,0.0008
3664604,0,0.0028
3664605,0,0.0023
3664606,0,1e-04
3664607,0,0.0
3664608,0,0.0004
3664609,0,0.2275
3664610,0,0.0059
3664611,0,0.0398
3664612,0,0.0002
3664613,0,0.0019
3664614,0,0.0005
3664615,0,0.0009
3664616,0,0.0061
3664617,0,0.0413
3664618,0,0.2073
3664619,0,0.1123
3664620,0,1e-04
3664621,0,0.0692
3664622,0,0.003
3664623,0,0.0022
3664624,0,0.0042
3664625,0,0.0079
3664626,0,0.0003
3664627,0,0.0016
3664628,0,0.0241
3664629,0,0.181
3664630,0,0.001
3664631,0,0.0015
3664632,0,1e-04
3664633,0,0.0132
3664634,0,0.0047
3664635,0,0.004
3664636,0,0.0013
3664637,0,0.003
3664638,0,0.0064
3664639,0,0.0015
3664640,0,0.0055
3664641,0,0.0003
3664642,0,0.0002
3664643,0,0.002
3664644,0,0.0017
3664645,0,0.0013
3664646,0,0.0004
3664647,0,0.0007
3664648,0,0.0002
3664649,0,0.0139
3664650,0,0.0003
3664651,0,0.0011
3664652,0,0.0046
3664653,0,0.0053
3664654,0,0.0004
3664655,0,0.001
3664656,0,0.0018
3664657,0,1e-04
3664658,0,0.002
3664659,0,0.0003
3664660,1,0.7139
3664661,0,0.0229
3664662,0,0.0004
3664663,0,0.0205
3664664,0,0.08
3664665,0,0.0008
3664666,0,0.0055
3664667,0,0.0026
3664668,0,0.0006
3664669,0,0.0
3664670,0,1e-04
3664671,0,0.0021
3664672,0,0.0023
3664673,0,1e-04
3664674,0,0.0073
3664675,0,0.003
3664676,0,0.0039
3664677,0,0.0005
3664678,0,0.0004
3664679,0,0.0035
3664680,0,0.0026
3664681,0,0.0002
3664682,0,0.0035
3664683,0,0.0974
3664684,0,0.0004
3664685,0,0.0053
3664686,0,1e-04
3664687,0,0.0026
3664688,0,0.0023
3664689,0,0.0181
3664690,0,0.018
3664691,0,0.002
3664692,0,0.0004
3664693,0,0.0009
3664694,0,0.0004
3664695,0,0.0002
3664696,0,0.0007
3664697,0,0.0172
3664698,0,0.005
3664699,0,0.0
3664700,0,0.0013
3664701,0,0.001
3664702,0,1e-04
3664703,0,0.001
3664704,0,0.0024
3664705,0,0.0011
3664706,0,0.0018
3664707,0,0.0009
3664708,0,0.0087
3664709,0,0.0008
3664710,0,0.0007
3664711,0,0.0063
3664712,0,0.0033
3664713,0,0.0003
3664714,0,0.0012
3664715,0,1e-04
3664716,0,0.0008
3664717,0,0.0327
3664718,0,0.0009
3664719,0,0.001
3664720,0,1e-04
3664721,0,0.0
3664722,0,0.0025
3664723,0,0.0
3664724,0,0.0002
3664725,0,0.0079
3664726,0,0.0002
3664727,0,0.0019
3664728,0,0.0009
3664729,0,0.0005
3664730,0,0.0037
3664731,0,0.0178
3664732,0,0.0002
3664733,0,0.0003
3664734,0,1e-04
3664735,0,0.004
3664736,0,0.0004
3664737,0,0.0035
3664738,0,0.0003
3664739,0,0.0056
3664740,0,0.0074
3664741,0,0.0002
3664742,0,0.0014
3664743,0,0.0174
3664744,0,0.005
3664745,0,0.0029
3664746,0,0.0039
3664747,0,0.1303
3664748,0,0.0035
3664749,0,0.0005
3664750,0,0.0056
3664751,0,0.0021
3664752,0,0.0019
3664753,0,0.0003
3664754,0,0.0021
3664755,0,0.0013
3664756,0,0.0118
3664757,0,0.0027
3664758,0,0.0141
3664759,0,0.0005
3664760,0,0.0067
3664761,0,0.0002
3664762,0,0.0105
3664763,0,0.0002
3664764,0,0.0354
3664765,0,0.0027
3664766,0,1e-04
3664767,0,0.005
3664768,0,0.0005
3664769,0,0.0007
3664770,0,0.0003
3664771,0,0.0003
3664772,0,0.0005
3664773,0,0.0004
3664774,0,1e-04
3664775,0,0.004
3664776,0,0.0007
3664777,0,0.003
3664778,0,0.0019
3664779,0,0.0002
3664780,0,0.0003
3664781,0,0.0016
3664782,0,0.001
3664783,0,0.0
3664784,0,0.0014
3664785,0,0.0907
3664786,0,0.0053
3664787,0,0.0401
3664788,0,0.1102
3664789,0,0.0045
3664790,0,0.0011
3664791,0,1e-04
3664792,0,0.0008
3664793,0,0.0
3664794,0,0.0005
3664795,0,0.003
3664796,0,0.0013
3664797,0,0.0238
3664798,0,1e-04
3664799,0,0.0078
3664800,0,0.0006
3664801,0,0.0064
3664802,0,0.0013
3664803,0,0.0008
3664804,0,0.0007
3664805,0,0.0053
3664806,0,0.0054
3664807,0,0.0002
3664808,0,0.0035
3664809,0,0.0023
3664810,0,0.0033
3664811,0,0.0022
3664812,0,0.0028
3664813,0,0.0007
3664814,0,0.0029
3664815,0,0.0008
3664816,0,0.0234
3664817,0,0.0078
3664818,0,0.0002
3664819,0,0.0067
3664820,0,0.0021
3664821,0,0.0025
3664822,0,0.0004
3664823,0,0.0004
3664824,0,0.0005
3664825,0,0.0061
3664826,0,0.0032
3664827,0,0.0009
3664828,0,0.0005
3664829,0,0.169
3664830,0,0.0009
